Plataforma,Ventas_norteamerica,Calificacion_critica
PSV,530000.0,80.0
PSV,710000.0,33.0
PSV,530000.0,70.0
PSV,350000.0,88.0
PSV,360000.0,93.0
PSV,200000.0,78.0
PSV,160000.0,86.0
PSV,150000.0,73.0
PSV,420000.0,85.0
PSV,320000.0,64.0
PSV,140000.0,87.0
PSV,160000.0,79.0
PSV,210000.0,83.0
PSV,150000.0,76.0
PSV,120000.0,88.0
PSV,150000.0,77.0
PSV,250000.0,71.0
PSV,210000.0,75.0
PSV,160000.0,61.0
PSV,180000.0,60.0
PSV,200000.0,66.0
PSV,60000.0,70.0
PSV,140000.0,78.0
PSV,130000.0,79.0
PSV,40000.0,71.0
PSV,160000.0,62.0
PSV,90000.0,80.0
PSV,80000.0,81.0
PSV,90000.0,76.0
PSV,280000.0,63.0
PSV,140000.0,57.0
PSV,150000.0,62.0
PSV,170000.0,80.0
PSV,90000.0,54.0
PSV,110000.0,78.0
PSV,130000.0,75.0
PSV,100000.0,82.0
PSV,50000.0,67.0
PSV,50000.0,77.0
PSV,20000.0,82.0
PSV,90000.0,83.0
PSV,130000.0,49.0
PSV,40000.0,77.0
PSV,60000.0,72.0
PSV,80000.0,73.0
PSV,70000.0,49.0
PSV,100000.0,58.0
PSV,170000.0,76.0
PSV,100000.0,79.0
PSV,20000.0,80.0
PSV,70000.0,64.0
PSV,80000.0,60.0
PSV,40000.0,48.0
PSV,40000.0,71.0
PSV,30000.0,44.0
PSV,80000.0,81.0
PSV,100000.0,62.0
PSV,40000.0,70.0
PSV,20000.0,93.0
PSV,10000.0,87.0
PSV,40000.0,75.0
PSV,10000.0,64.0
PSV,30000.0,66.0
PSV,20000.0,67.0
PSV,30000.0,67.0
PSV,40000.0,68.0
PSV,70000.0,69.0
PSV,10000.0,83.0
PSV,50000.0,54.0
PSV,30000.0,71.0
PSV,100000.0,75.0
PSV,10000.0,70.0
PSV,30000.0,83.0
PSV,80000.0,68.0
PSV,50000.0,59.0
PSV,40000.0,83.0
PSV,20000.0,66.0
PSV,40000.0,57.0
PSV,40000.0,57.0
PSV,30000.0,72.0
PSV,30000.0,63.0
PSV,20000.0,72.0
PSV,10000.0,70.0
PSV,20000.0,60.0
PSV,10000.0,55.0
PSV,30000.0,83.0
PSV,10000.0,76.0
PSV,10000.0,71.0
PSV,20000.0,71.0
PSV,10000.0,43.0
